[fold0] ep   0 | train 1.3441 (pred 0.8724 sig 4.72) | val pred 0.5520 | 48s
[fold0] ep   1 | train 0.6314 (pred 0.2429 sig 3.89) | val pred 0.2244 | 47s
[fold0] ep   2 | train 0.5210 (pred 0.1538 sig 3.67) | val pred 0.1214 | 47s
[fold0] ep   3 | train 0.4812 (pred 0.1173 sig 3.64) | val pred 0.1205 | 47s
[fold0] ep   4 | train 0.4604 (pred 0.0997 sig 3.61) | val pred 0.0810 | 48s
[fold0] ep   5 | train 0.4415 (pred 0.0883 sig 3.53) | val pred 0.0736 | 46s
[fold0] ep   6 | train 0.4271 (pred 0.0816 sig 3.45) | val pred 0.0707 | 46s
[fold0] ep   7 | train 0.4070 (pred 0.0786 sig 3.28) | val pred 0.0831 | 46s
[fold0] ep   8 | train 0.3887 (pred 0.0681 sig 3.21) | val pred 0.0783 | 46s
[fold0] ep   9 | train 0.3849 (pred 0.0651 sig 3.20) | val pred 0.0760 | 47s
[fold0] ep  10 | train 0.3751 (pred 0.0610 sig 3.14) | val pred 0.0652 | 48s
[fold0] ep  11 | train 0.3698 (pred 0.0574 sig 3.12) | val pred 0.0834 | 46s
[fold0] ep  12 | train 0.3641 (pred 0.0541 sig 3.10) | val pred 0.0591 | 46s
[fold0] ep  13 | train 0.3537 (pred 0.0497 sig 3.04) | val pred 0.0688 | 47s
[fold0] ep  14 | train 0.3532 (pred 0.0477 sig 3.06) | val pred 0.0518 | 47s
[fold0] ep  15 | train 0.3502 (pred 0.0459 sig 3.04) | val pred 0.0652 | 46s
[fold0] ep  16 | train 0.3468 (pred 0.0440 sig 3.03) | val pred 0.0598 | 47s
[fold0] ep  17 | train 0.3416 (pred 0.0421 sig 3.00) | val pred 0.0543 | 47s
[fold0] ep  18 | train 0.3350 (pred 0.0429 sig 2.92) | val pred 0.0507 | 49s
[fold0] ep  19 | train 0.3278 (pred 0.0409 sig 2.87) | val pred 0.0621 | 48s
[fold0] ep  20 | train 0.3205 (pred 0.0392 sig 2.81) | val pred 0.0596 | 46s
[fold0] ep  21 | train 0.3181 (pred 0.0380 sig 2.80) | val pred 0.0476 | 46s
[fold0] ep  22 | train 0.3170 (pred 0.0368 sig 2.80) | val pred 0.0514 | 46s
[fold0] ep  23 | train 0.3147 (pred 0.0357 sig 2.79) | val pred 0.0496 | 46s
[fold0] ep  24 | train 0.3132 (pred 0.0345 sig 2.79) | val pred 0.0481 | 46s
[fold0] ep  25 | train 0.3095 (pred 0.0328 sig 2.77) | val pred 0.0499 | 46s
[fold0] ep  26 | train 0.3079 (pred 0.0318 sig 2.76) | val pred 0.0468 | 46s
[fold0] ep  27 | train 0.3059 (pred 0.0304 sig 2.76) | val pred 0.0510 | 46s
[fold0] ep  28 | train 0.3052 (pred 0.0299 sig 2.75) | val pred 0.0507 | 46s
[fold0] ep  29 | train 0.2984 (pred 0.0298 sig 2.69) | val pred 0.0483 | 46s
[fold0] ep  30 | train 0.2921 (pred 0.0294 sig 2.63) | val pred 0.0452 | 46s
[fold0] ep  31 | train 0.2880 (pred 0.0284 sig 2.60) | val pred 0.0513 | 46s
[fold0] ep  32 | train 0.2862 (pred 0.0280 sig 2.58) | val pred 0.0454 | 46s
[fold0] ep  33 | train 0.2847 (pred 0.0275 sig 2.57) | val pred 0.0469 | 46s
[fold0] ep  34 | train 0.2824 (pred 0.0262 sig 2.56) | val pred 0.0542 | 46s
[fold0] ep  35 | train 0.2802 (pred 0.0254 sig 2.55) | val pred 0.0496 | 46s
[fold0] ep  36 | train 0.2774 (pred 0.0260 sig 2.51) | val pred 0.0511 | 46s
[fold0] ep  37 | train 0.2726 (pred 0.0252 sig 2.47) | val pred 0.0534 | 46s
[fold0] ep  38 | train 0.2716 (pred 0.0248 sig 2.47) | val pred 0.0504 | 46s
[fold0] ep  39 | train 0.2677 (pred 0.0234 sig 2.44) | val pred 0.0515 | 46s
[fold0] ep  40 | train 0.2685 (pred 0.0235 sig 2.45) | val pred 0.0510 | 46s
[fold0] ep  41 | train 0.2667 (pred 0.0228 sig 2.44) | val pred 0.0496 | 46s
[fold0] ep  42 | train 0.2671 (pred 0.0221 sig 2.45) | val pred 0.0461 | 46s
[fold0] ep  43 | train 0.2635 (pred 0.0214 sig 2.42) | val pred 0.0497 | 46s
[fold0] ep  44 | train 0.2629 (pred 0.0211 sig 2.42) | val pred 0.0497 | 46s
[fold0] ep  45 | train 0.2610 (pred 0.0208 sig 2.40) | val pred 0.0551 | 46s
[fold0] early-stop (best 0.0452 @ ep 30)
[fold0] DONE best_val 0.0452 | rollout@1 0.0365 (×identity 0.83) | eff_rank 8.7 | steer_sens 0.0186
