[fold1] ep   0 | train 1.4372 (pred 0.9509 sig 4.86) | val pred 0.4962 | 44s
[fold1] ep   1 | train 0.6753 (pred 0.2723 sig 4.03) | val pred 0.3008 | 44s
[fold1] ep   2 | train 0.5453 (pred 0.1735 sig 3.72) | val pred 0.1319 | 43s
[fold1] ep   3 | train 0.4977 (pred 0.1282 sig 3.70) | val pred 0.1093 | 44s
[fold1] ep   4 | train 0.4736 (pred 0.1086 sig 3.65) | val pred 0.0864 | 43s
[fold1] ep   5 | train 0.4556 (pred 0.0959 sig 3.60) | val pred 0.0880 | 44s
[fold1] ep   6 | train 0.4402 (pred 0.0860 sig 3.54) | val pred 0.0692 | 44s
[fold1] ep   7 | train 0.4249 (pred 0.0782 sig 3.47) | val pred 0.0733 | 45s
[fold1] ep   8 | train 0.4141 (pred 0.0742 sig 3.40) | val pred 0.0655 | 44s
[fold1] ep   9 | train 0.3951 (pred 0.0714 sig 3.24) | val pred 0.0651 | 44s
[fold1] ep  10 | train 0.3829 (pred 0.0645 sig 3.18) | val pred 0.0726 | 44s
[fold1] ep  11 | train 0.3787 (pred 0.0616 sig 3.17) | val pred 0.0521 | 44s
[fold1] ep  12 | train 0.3708 (pred 0.0571 sig 3.14) | val pred 0.0576 | 43s
[fold1] ep  13 | train 0.3648 (pred 0.0542 sig 3.11) | val pred 0.0517 | 44s
[fold1] ep  14 | train 0.3577 (pred 0.0507 sig 3.07) | val pred 0.0545 | 45s
[fold1] ep  15 | train 0.3574 (pred 0.0501 sig 3.07) | val pred 0.0458 | 45s
[fold1] ep  16 | train 0.3530 (pred 0.0474 sig 3.06) | val pred 0.0444 | 44s
[fold1] ep  17 | train 0.3487 (pred 0.0455 sig 3.03) | val pred 0.0433 | 44s
[fold1] ep  18 | train 0.3469 (pred 0.0441 sig 3.03) | val pred 0.0438 | 44s
[fold1] ep  19 | train 0.3485 (pred 0.0437 sig 3.05) | val pred 0.0467 | 44s
[fold1] ep  20 | train 0.3418 (pred 0.0413 sig 3.01) | val pred 0.0456 | 43s
[fold1] ep  21 | train 0.3413 (pred 0.0401 sig 3.01) | val pred 0.0447 | 44s
[fold1] ep  22 | train 0.3404 (pred 0.0391 sig 3.01) | val pred 0.0427 | 44s
[fold1] ep  23 | train 0.3356 (pred 0.0386 sig 2.97) | val pred 0.0574 | 44s
[fold1] ep  24 | train 0.3272 (pred 0.0392 sig 2.88) | val pred 0.0448 | 44s
[fold1] ep  25 | train 0.3225 (pred 0.0377 sig 2.85) | val pred 0.0440 | 44s
[fold1] ep  26 | train 0.3202 (pred 0.0370 sig 2.83) | val pred 0.0394 | 44s
[fold1] ep  27 | train 0.3178 (pred 0.0358 sig 2.82) | val pred 0.0413 | 44s
[fold1] ep  28 | train 0.3134 (pred 0.0342 sig 2.79) | val pred 0.0493 | 43s
[fold1] ep  29 | train 0.3107 (pred 0.0333 sig 2.77) | val pred 0.0394 | 43s
[fold1] ep  30 | train 0.3119 (pred 0.0331 sig 2.79) | val pred 0.0385 | 44s
[fold1] ep  31 | train 0.3077 (pred 0.0319 sig 2.76) | val pred 0.0466 | 44s
[fold1] ep  32 | train 0.3074 (pred 0.0312 sig 2.76) | val pred 0.0399 | 44s
[fold1] ep  33 | train 0.3048 (pred 0.0300 sig 2.75) | val pred 0.0357 | 43s
[fold1] ep  34 | train 0.3047 (pred 0.0293 sig 2.75) | val pred 0.0422 | 44s
[fold1] ep  35 | train 0.3044 (pred 0.0290 sig 2.75) | val pred 0.0372 | 43s
[fold1] ep  36 | train 0.3018 (pred 0.0281 sig 2.74) | val pred 0.0439 | 44s
[fold1] ep  37 | train 0.3012 (pred 0.0282 sig 2.73) | val pred 0.0463 | 43s
[fold1] ep  38 | train 0.2930 (pred 0.0291 sig 2.64) | val pred 0.0430 | 43s
[fold1] ep  39 | train 0.2903 (pred 0.0280 sig 2.62) | val pred 0.0407 | 44s
[fold1] ep  40 | train 0.2875 (pred 0.0267 sig 2.61) | val pred 0.0382 | 43s
[fold1] ep  41 | train 0.2850 (pred 0.0262 sig 2.59) | val pred 0.0392 | 43s
[fold1] ep  42 | train 0.2834 (pred 0.0257 sig 2.58) | val pred 0.0425 | 43s
[fold1] ep  43 | train 0.2807 (pred 0.0247 sig 2.56) | val pred 0.0419 | 43s
[fold1] ep  44 | train 0.2790 (pred 0.0246 sig 2.54) | val pred 0.0378 | 43s
[fold1] ep  45 | train 0.2737 (pred 0.0245 sig 2.49) | val pred 0.0385 | 44s
[fold1] ep  46 | train 0.2712 (pred 0.0240 sig 2.47) | val pred 0.0419 | 43s
[fold1] ep  47 | train 0.2715 (pred 0.0233 sig 2.48) | val pred 0.0367 | 44s
[fold1] ep  48 | train 0.2686 (pred 0.0229 sig 2.46) | val pred 0.0466 | 43s
[fold1] early-stop (best 0.0357 @ ep 33)
[fold1] DONE best_val 0.0357 | rollout@1 0.0311 (×identity 0.82) | eff_rank 7.1 | steer_sens 0.0054
