[fold2] ep   0 | train 1.3523 (pred 0.8795 sig 4.73) | val pred 0.5352 | 46s
[fold2] ep   1 | train 0.6439 (pred 0.2511 sig 3.93) | val pred 0.2394 | 46s
[fold2] ep   2 | train 0.5216 (pred 0.1543 sig 3.67) | val pred 0.1884 | 46s
[fold2] ep   3 | train 0.4817 (pred 0.1158 sig 3.66) | val pred 0.1466 | 46s
[fold2] ep   4 | train 0.4562 (pred 0.0959 sig 3.60) | val pred 0.0838 | 46s
[fold2] ep   5 | train 0.4364 (pred 0.0839 sig 3.52) | val pred 0.0882 | 46s
[fold2] ep   6 | train 0.4139 (pred 0.0788 sig 3.35) | val pred 0.1015 | 46s
[fold2] ep   7 | train 0.3944 (pred 0.0704 sig 3.24) | val pred 0.0860 | 46s
[fold2] ep   8 | train 0.3859 (pred 0.0657 sig 3.20) | val pred 0.0723 | 46s
[fold2] ep   9 | train 0.3796 (pred 0.0620 sig 3.18) | val pred 0.0735 | 46s
[fold2] ep  10 | train 0.3719 (pred 0.0580 sig 3.14) | val pred 0.0662 | 45s
[fold2] ep  11 | train 0.3644 (pred 0.0535 sig 3.11) | val pred 0.0847 | 46s
[fold2] ep  12 | train 0.3576 (pred 0.0503 sig 3.07) | val pred 0.0703 | 46s
[fold2] ep  13 | train 0.3562 (pred 0.0486 sig 3.08) | val pred 0.0685 | 46s
[fold2] ep  14 | train 0.3502 (pred 0.0460 sig 3.04) | val pred 0.0634 | 45s
[fold2] ep  15 | train 0.3474 (pred 0.0440 sig 3.03) | val pred 0.0605 | 46s
[fold2] ep  16 | train 0.3428 (pred 0.0418 sig 3.01) | val pred 0.0545 | 46s
[fold2] ep  17 | train 0.3421 (pred 0.0412 sig 3.01) | val pred 0.0625 | 46s
[fold2] ep  18 | train 0.3389 (pred 0.0397 sig 2.99) | val pred 0.0499 | 46s
[fold2] ep  19 | train 0.3278 (pred 0.0395 sig 2.88) | val pred 0.0612 | 46s
[fold2] ep  20 | train 0.3227 (pred 0.0389 sig 2.84) | val pred 0.0565 | 47s
[fold2] ep  21 | train 0.3182 (pred 0.0372 sig 2.81) | val pred 0.0566 | 47s
[fold2] ep  22 | train 0.3155 (pred 0.0354 sig 2.80) | val pred 0.0540 | 48s
[fold2] ep  23 | train 0.3148 (pred 0.0347 sig 2.80) | val pred 0.0559 | 46s
[fold2] ep  24 | train 0.3124 (pred 0.0336 sig 2.79) | val pred 0.0523 | 46s
[fold2] ep  25 | train 0.3086 (pred 0.0322 sig 2.76) | val pred 0.0434 | 46s
[fold2] ep  26 | train 0.3104 (pred 0.0321 sig 2.78) | val pred 0.0513 | 47s
[fold2] ep  27 | train 0.3047 (pred 0.0306 sig 2.74) | val pred 0.0517 | 46s
[fold2] ep  28 | train 0.2962 (pred 0.0318 sig 2.64) | val pred 0.0487 | 46s
[fold2] ep  29 | train 0.2927 (pred 0.0302 sig 2.62) | val pred 0.0496 | 46s
[fold2] ep  30 | train 0.2888 (pred 0.0290 sig 2.60) | val pred 0.0483 | 46s
[fold2] ep  31 | train 0.2833 (pred 0.0284 sig 2.55) | val pred 0.0555 | 47s
[fold2] ep  32 | train 0.2790 (pred 0.0283 sig 2.51) | val pred 0.0525 | 48s
[fold2] ep  33 | train 0.2743 (pred 0.0267 sig 2.48) | val pred 0.0571 | 47s
[fold2] ep  34 | train 0.2722 (pred 0.0264 sig 2.46) | val pred 0.0443 | 46s
[fold2] ep  35 | train 0.2718 (pred 0.0259 sig 2.46) | val pred 0.0546 | 46s
[fold2] ep  36 | train 0.2687 (pred 0.0249 sig 2.44) | val pred 0.0531 | 46s
[fold2] ep  37 | train 0.2675 (pred 0.0240 sig 2.44) | val pred 0.0470 | 47s
[fold2] ep  38 | train 0.2653 (pred 0.0238 sig 2.41) | val pred 0.0457 | 47s
[fold2] ep  39 | train 0.2647 (pred 0.0236 sig 2.41) | val pred 0.0415 | 46s
[fold2] ep  40 | train 0.2614 (pred 0.0224 sig 2.39) | val pred 0.0564 | 46s
[fold2] ep  41 | train 0.2561 (pred 0.0222 sig 2.34) | val pred 0.0579 | 46s
[fold2] ep  42 | train 0.2547 (pred 0.0221 sig 2.33) | val pred 0.0563 | 46s
[fold2] ep  43 | train 0.2520 (pred 0.0213 sig 2.31) | val pred 0.0511 | 46s
[fold2] ep  44 | train 0.2502 (pred 0.0210 sig 2.29) | val pred 0.0461 | 46s
[fold2] ep  45 | train 0.2493 (pred 0.0216 sig 2.28) | val pred 0.0518 | 46s
[fold2] ep  46 | train 0.2466 (pred 0.0209 sig 2.26) | val pred 0.0548 | 46s
[fold2] ep  47 | train 0.2413 (pred 0.0200 sig 2.21) | val pred 0.0547 | 45s
[fold2] ep  48 | train 0.2414 (pred 0.0203 sig 2.21) | val pred 0.0502 | 46s
[fold2] ep  49 | train 0.2387 (pred 0.0189 sig 2.20) | val pred 0.0448 | 46s
[fold2] ep  50 | train 0.2380 (pred 0.0185 sig 2.20) | val pred 0.0515 | 46s
[fold2] ep  51 | train 0.2359 (pred 0.0185 sig 2.17) | val pred 0.0593 | 46s
[fold2] ep  52 | train 0.2346 (pred 0.0175 sig 2.17) | val pred 0.0527 | 45s
[fold2] ep  53 | train 0.2318 (pred 0.0171 sig 2.15) | val pred 0.0534 | 46s
[fold2] ep  54 | train 0.2334 (pred 0.0189 sig 2.14) | val pred 0.0578 | 46s
[fold2] early-stop (best 0.0415 @ ep 39)
[fold2] DONE best_val 0.0415 | rollout@1 0.0559 (×identity 1.01) | eff_rank 8.3 | steer_sens 0.0361
