[fold3] ep   0 | train 1.3200 (pred 0.8487 sig 4.71) | val pred 0.5195 | 47s
[fold3] ep   1 | train 0.6270 (pred 0.2398 sig 3.87) | val pred 0.2655 | 47s
[fold3] ep   2 | train 0.5152 (pred 0.1489 sig 3.66) | val pred 0.1755 | 47s
[fold3] ep   3 | train 0.4750 (pred 0.1127 sig 3.62) | val pred 0.1200 | 47s
[fold3] ep   4 | train 0.4552 (pred 0.0953 sig 3.60) | val pred 0.1242 | 47s
[fold3] ep   5 | train 0.4320 (pred 0.0873 sig 3.45) | val pred 0.1124 | 47s
[fold3] ep   6 | train 0.4041 (pred 0.0794 sig 3.25) | val pred 0.0973 | 47s
[fold3] ep   7 | train 0.3911 (pred 0.0709 sig 3.20) | val pred 0.0908 | 47s
[fold3] ep   8 | train 0.3844 (pred 0.0658 sig 3.19) | val pred 0.0678 | 47s
[fold3] ep   9 | train 0.3756 (pred 0.0615 sig 3.14) | val pred 0.0709 | 47s
[fold3] ep  10 | train 0.3675 (pred 0.0578 sig 3.10) | val pred 0.0747 | 47s
[fold3] ep  11 | train 0.3634 (pred 0.0549 sig 3.09) | val pred 0.0732 | 47s
[fold3] ep  12 | train 0.3575 (pred 0.0510 sig 3.07) | val pred 0.0746 | 47s
[fold3] ep  13 | train 0.3549 (pred 0.0485 sig 3.06) | val pred 0.0464 | 47s
[fold3] ep  14 | train 0.3491 (pred 0.0461 sig 3.03) | val pred 0.0617 | 47s
[fold3] ep  15 | train 0.3433 (pred 0.0447 sig 2.99) | val pred 0.0614 | 47s
[fold3] ep  16 | train 0.3342 (pred 0.0445 sig 2.90) | val pred 0.0566 | 47s
[fold3] ep  17 | train 0.3264 (pred 0.0422 sig 2.84) | val pred 0.0564 | 47s
[fold3] ep  18 | train 0.3211 (pred 0.0403 sig 2.81) | val pred 0.0501 | 47s
[fold3] ep  19 | train 0.3187 (pred 0.0385 sig 2.80) | val pred 0.0509 | 47s
[fold3] ep  20 | train 0.3170 (pred 0.0375 sig 2.79) | val pred 0.0468 | 47s
[fold3] ep  21 | train 0.3122 (pred 0.0351 sig 2.77) | val pred 0.0551 | 47s
[fold3] ep  22 | train 0.3110 (pred 0.0341 sig 2.77) | val pred 0.0539 | 47s
[fold3] ep  23 | train 0.3072 (pred 0.0329 sig 2.74) | val pred 0.0517 | 47s
[fold3] ep  24 | train 0.3062 (pred 0.0318 sig 2.74) | val pred 0.0479 | 47s
[fold3] ep  25 | train 0.3007 (pred 0.0323 sig 2.68) | val pred 0.0483 | 47s
[fold3] ep  26 | train 0.2929 (pred 0.0312 sig 2.62) | val pred 0.0493 | 47s
[fold3] ep  27 | train 0.2885 (pred 0.0299 sig 2.59) | val pred 0.0635 | 47s
[fold3] ep  28 | train 0.2878 (pred 0.0290 sig 2.59) | val pred 0.0488 | 47s
[fold3] early-stop (best 0.0464 @ ep 13)
[fold3] DONE best_val 0.0464 | rollout@1 0.0488 (×identity 0.96) | eff_rank 6.8 | steer_sens 0.0030
