[fold4] ep   0 | train 1.4452 (pred 0.9691 sig 4.76) | val pred 0.5293 | 43s
[fold4] ep   1 | train 0.6884 (pred 0.2845 sig 4.04) | val pred 0.3018 | 43s
[fold4] ep   2 | train 0.5618 (pred 0.1905 sig 3.71) | val pred 0.2256 | 43s
[fold4] ep   3 | train 0.5082 (pred 0.1417 sig 3.67) | val pred 0.1140 | 43s
[fold4] ep   4 | train 0.4784 (pred 0.1179 sig 3.60) | val pred 0.1151 | 43s
[fold4] ep   5 | train 0.4614 (pred 0.1039 sig 3.57) | val pred 0.1302 | 43s
[fold4] ep   6 | train 0.4457 (pred 0.0946 sig 3.51) | val pred 0.1115 | 43s
[fold4] ep   7 | train 0.4237 (pred 0.0879 sig 3.36) | val pred 0.0812 | 43s
[fold4] ep   8 | train 0.4048 (pred 0.0808 sig 3.24) | val pred 0.0736 | 43s
[fold4] ep   9 | train 0.3949 (pred 0.0743 sig 3.21) | val pred 0.0735 | 43s
[fold4] ep  10 | train 0.3831 (pred 0.0679 sig 3.15) | val pred 0.0599 | 43s
[fold4] ep  11 | train 0.3746 (pred 0.0622 sig 3.12) | val pred 0.0612 | 43s
[fold4] ep  12 | train 0.3687 (pred 0.0572 sig 3.11) | val pred 0.0683 | 43s
[fold4] ep  13 | train 0.3628 (pred 0.0545 sig 3.08) | val pred 0.0567 | 43s
[fold4] ep  14 | train 0.3562 (pred 0.0501 sig 3.06) | val pred 0.0622 | 43s
[fold4] ep  15 | train 0.3524 (pred 0.0487 sig 3.04) | val pred 0.0491 | 43s
[fold4] ep  16 | train 0.3512 (pred 0.0464 sig 3.05) | val pred 0.0530 | 43s
[fold4] ep  17 | train 0.3451 (pred 0.0439 sig 3.01) | val pred 0.0577 | 43s
[fold4] ep  18 | train 0.3426 (pred 0.0418 sig 3.01) | val pred 0.0529 | 43s
[fold4] ep  19 | train 0.3402 (pred 0.0410 sig 2.99) | val pred 0.0540 | 43s
[fold4] ep  20 | train 0.3325 (pred 0.0416 sig 2.91) | val pred 0.0505 | 43s
[fold4] ep  21 | train 0.3264 (pred 0.0401 sig 2.86) | val pred 0.0601 | 43s
[fold4] ep  22 | train 0.3228 (pred 0.0390 sig 2.84) | val pred 0.0533 | 43s
[fold4] ep  23 | train 0.3165 (pred 0.0364 sig 2.80) | val pred 0.0511 | 43s
[fold4] ep  24 | train 0.3134 (pred 0.0348 sig 2.79) | val pred 0.0584 | 43s
[fold4] ep  25 | train 0.3124 (pred 0.0347 sig 2.78) | val pred 0.0539 | 43s
[fold4] ep  26 | train 0.3094 (pred 0.0330 sig 2.76) | val pred 0.0451 | 43s
[fold4] ep  27 | train 0.3110 (pred 0.0332 sig 2.78) | val pred 0.0514 | 43s
[fold4] ep  28 | train 0.3070 (pred 0.0311 sig 2.76) | val pred 0.0529 | 43s
[fold4] ep  29 | train 0.3071 (pred 0.0310 sig 2.76) | val pred 0.0593 | 43s
[fold4] ep  30 | train 0.3018 (pred 0.0294 sig 2.72) | val pred 0.0511 | 43s
[fold4] ep  31 | train 0.3012 (pred 0.0293 sig 2.72) | val pred 0.0466 | 43s
[fold4] ep  32 | train 0.2931 (pred 0.0286 sig 2.64) | val pred 0.0578 | 43s
[fold4] ep  33 | train 0.2904 (pred 0.0280 sig 2.62) | val pred 0.0472 | 43s
[fold4] ep  34 | train 0.2860 (pred 0.0269 sig 2.59) | val pred 0.0548 | 43s
[fold4] ep  35 | train 0.2850 (pred 0.0267 sig 2.58) | val pred 0.0491 | 43s
[fold4] ep  36 | train 0.2859 (pred 0.0274 sig 2.58) | val pred 0.0521 | 43s
[fold4] ep  37 | train 0.2821 (pred 0.0250 sig 2.57) | val pred 0.0552 | 43s
[fold4] ep  38 | train 0.2775 (pred 0.0254 sig 2.52) | val pred 0.0641 | 43s
[fold4] ep  39 | train 0.2727 (pred 0.0258 sig 2.47) | val pred 0.0574 | 43s
[fold4] ep  40 | train 0.2732 (pred 0.0255 sig 2.48) | val pred 0.0562 | 43s
[fold4] ep  41 | train 0.2698 (pred 0.0242 sig 2.46) | val pred 0.0593 | 43s
[fold4] early-stop (best 0.0451 @ ep 26)
[fold4] DONE best_val 0.0451 | rollout@1 0.0371 (×identity 1.22) | eff_rank 5.7 | steer_sens 0.0498
