[full] ep   0 | train 1.1356 (pred 0.6716 sig 4.64) | val pred 0.3191 | 47s
[full] ep   1 | train 0.5652 (pred 0.1825 sig 3.83) | val pred 0.1557 | 46s
[full] ep   2 | train 0.4876 (pred 0.1185 sig 3.69) | val pred 0.1179 | 46s
[full] ep   3 | train 0.4618 (pred 0.0968 sig 3.65) | val pred 0.0815 | 46s
[full] ep   4 | train 0.4407 (pred 0.0839 sig 3.57) | val pred 0.0657 | 46s
[full] ep   5 | train 0.4250 (pred 0.0743 sig 3.51) | val pred 0.0766 | 45s
[full] ep   6 | train 0.4149 (pred 0.0684 sig 3.47) | val pred 0.0737 | 45s
[full] ep   7 | train 0.4052 (pred 0.0630 sig 3.42) | val pred 0.0659 | 45s
[full] ep   8 | train 0.3974 (pred 0.0598 sig 3.38) | val pred 0.0670 | 46s
[full] ep   9 | train 0.3887 (pred 0.0563 sig 3.32) | val pred 0.0726 | 46s
[full] ep  10 | train 0.3793 (pred 0.0558 sig 3.23) | val pred 0.0753 | 46s
[full] ep  11 | train 0.3648 (pred 0.0524 sig 3.12) | val pred 0.0599 | 45s
[full] ep  12 | train 0.3609 (pred 0.0495 sig 3.11) | val pred 0.0567 | 46s
[full] ep  13 | train 0.3535 (pred 0.0465 sig 3.07) | val pred 0.0605 | 46s
[full] ep  14 | train 0.3484 (pred 0.0439 sig 3.05) | val pred 0.0597 | 45s
[full] ep  15 | train 0.3491 (pred 0.0432 sig 3.06) | val pred 0.0630 | 46s
[full] ep  16 | train 0.3441 (pred 0.0415 sig 3.03) | val pred 0.0610 | 46s
[full] ep  17 | train 0.3411 (pred 0.0394 sig 3.02) | val pred 0.0588 | 45s
[full] ep  18 | train 0.3397 (pred 0.0381 sig 3.02) | val pred 0.0554 | 45s
[full] ep  19 | train 0.3359 (pred 0.0367 sig 2.99) | val pred 0.0522 | 45s
[full] ep  20 | train 0.3337 (pred 0.0351 sig 2.99) | val pred 0.0730 | 45s
[full] ep  21 | train 0.3305 (pred 0.0339 sig 2.97) | val pred 0.0566 | 45s
[full] ep  22 | train 0.3290 (pred 0.0326 sig 2.96) | val pred 0.0543 | 46s
[full] ep  23 | train 0.3296 (pred 0.0322 sig 2.97) | val pred 0.0526 | 45s
[full] ep  24 | train 0.3237 (pred 0.0321 sig 2.92) | val pred 0.0631 | 45s
[full] ep  25 | train 0.3145 (pred 0.0327 sig 2.82) | val pred 0.0535 | 45s
[full] ep  26 | train 0.3118 (pred 0.0316 sig 2.80) | val pred 0.0558 | 45s
[full] ep  27 | train 0.3065 (pred 0.0298 sig 2.77) | val pred 0.0664 | 46s
[full] ep  28 | train 0.3036 (pred 0.0288 sig 2.75) | val pred 0.0518 | 46s
[full] ep  29 | train 0.3035 (pred 0.0278 sig 2.76) | val pred 0.0507 | 45s
[full] ep  30 | train 0.3027 (pred 0.0272 sig 2.75) | val pred 0.0521 | 45s
[full] ep  31 | train 0.2993 (pred 0.0259 sig 2.73) | val pred 0.0526 | 45s
[full] ep  32 | train 0.2992 (pred 0.0247 sig 2.74) | val pred 0.0518 | 46s
[full] ep  33 | train 0.2949 (pred 0.0243 sig 2.71) | val pred 0.0538 | 46s
[full] ep  34 | train 0.2944 (pred 0.0233 sig 2.71) | val pred 0.0500 | 45s
[full] ep  35 | train 0.2949 (pred 0.0230 sig 2.72) | val pred 0.0542 | 46s
[full] ep  36 | train 0.2920 (pred 0.0222 sig 2.70) | val pred 0.0557 | 46s
[full] ep  37 | train 0.2934 (pred 0.0215 sig 2.72) | val pred 0.0537 | 45s
[full] ep  38 | train 0.2903 (pred 0.0212 sig 2.69) | val pred 0.0551 | 46s
[full] ep  39 | train 0.2857 (pred 0.0226 sig 2.63) | val pred 0.0612 | 45s
[full] ep  40 | train 0.2780 (pred 0.0216 sig 2.56) | val pred 0.0522 | 45s
[full] ep  41 | train 0.2766 (pred 0.0210 sig 2.56) | val pred 0.0577 | 46s
[full] ep  42 | train 0.2758 (pred 0.0203 sig 2.56) | val pred 0.0583 | 46s
[full] ep  43 | train 0.2730 (pred 0.0196 sig 2.53) | val pred 0.0579 | 45s
[full] ep  44 | train 0.2717 (pred 0.0187 sig 2.53) | val pred 0.0545 | 46s
[full] ep  45 | train 0.2698 (pred 0.0183 sig 2.52) | val pred 0.0533 | 45s
[full] ep  46 | train 0.2691 (pred 0.0177 sig 2.51) | val pred 0.0543 | 46s
[full] early-stop (best 0.0500 @ ep 34)
[full] DONE best_val 0.0500 | rollout@1 0.0308 (×identity 0.75) | eff_rank 7.2 | steer_sens 0.0465
