[full] ep   0 | train 1.0422 (pred 0.5687 sig 4.73) | val pred 0.3166 | 46s
[full] ep   1 | train 0.5449 (pred 0.1759 sig 3.69) | val pred 0.1561 | 45s
[full] ep   2 | train 0.4548 (pred 0.1298 sig 3.25) | val pred 0.1111 | 46s
[full] ep   3 | train 0.4192 (pred 0.1057 sig 3.14) | val pred 0.0754 | 45s
[full] ep   4 | train 0.3943 (pred 0.0907 sig 3.04) | val pred 0.0827 | 45s
[full] ep   5 | train 0.3684 (pred 0.0842 sig 2.84) | val pred 0.0722 | 45s
[full] ep   6 | train 0.3490 (pred 0.0739 sig 2.75) | val pred 0.0803 | 45s
[full] ep   7 | train 0.3380 (pred 0.0678 sig 2.70) | val pred 0.0854 | 46s
[full] ep   8 | train 0.3244 (pred 0.0658 sig 2.59) | val pred 0.0773 | 46s
[full] ep   9 | train 0.3154 (pred 0.0611 sig 2.54) | val pred 0.0655 | 45s
[full] ep  10 | train 0.3058 (pred 0.0559 sig 2.50) | val pred 0.0675 | 46s
[full] ep  11 | train 0.2996 (pred 0.0525 sig 2.47) | val pred 0.0669 | 45s
[full] ep  12 | train 0.2916 (pred 0.0510 sig 2.41) | val pred 0.0767 | 46s
[full] ep  13 | train 0.2804 (pred 0.0481 sig 2.32) | val pred 0.0803 | 45s
[full] ep  14 | train 0.2769 (pred 0.0453 sig 2.32) | val pred 0.0661 | 46s
[full] ep  15 | train 0.2721 (pred 0.0432 sig 2.29) | val pred 0.0694 | 46s
[full] ep  16 | train 0.2675 (pred 0.0412 sig 2.26) | val pred 0.0767 | 45s
[full] ep  17 | train 0.2584 (pred 0.0409 sig 2.17) | val pred 0.0622 | 45s
[full] ep  18 | train 0.2458 (pred 0.0405 sig 2.05) | val pred 0.0656 | 46s
[full] ep  19 | train 0.2409 (pred 0.0376 sig 2.03) | val pred 0.0581 | 45s
[full] ep  20 | train 0.2322 (pred 0.0362 sig 1.96) | val pred 0.0609 | 45s
[full] ep  21 | train 0.2272 (pred 0.0350 sig 1.92) | val pred 0.0635 | 46s
[full] ep  22 | train 0.2243 (pred 0.0341 sig 1.90) | val pred 0.0710 | 46s
[full] ep  23 | train 0.2156 (pred 0.0326 sig 1.83) | val pred 0.0576 | 46s
[full] ep  24 | train 0.2092 (pred 0.0325 sig 1.77) | val pred 0.0752 | 46s
[full] ep  25 | train 0.2012 (pred 0.0314 sig 1.70) | val pred 0.0647 | 45s
[full] ep  26 | train 0.1962 (pred 0.0305 sig 1.66) | val pred 0.0689 | 46s
[full] ep  27 | train 0.1907 (pred 0.0281 sig 1.63) | val pred 0.0603 | 45s
[full] ep  28 | train 0.1875 (pred 0.0266 sig 1.61) | val pred 0.0587 | 45s
[full] ep  29 | train 0.1839 (pred 0.0251 sig 1.59) | val pred 0.0652 | 45s
[full] ep  30 | train 0.1824 (pred 0.0246 sig 1.58) | val pred 0.0647 | 46s
[full] ep  31 | train 0.1795 (pred 0.0240 sig 1.56) | val pred 0.0626 | 45s
[full] ep  32 | train 0.1758 (pred 0.0233 sig 1.52) | val pred 0.0641 | 46s
[full] ep  33 | train 0.1723 (pred 0.0224 sig 1.50) | val pred 0.0811 | 45s
[full] ep  34 | train 0.1699 (pred 0.0217 sig 1.48) | val pred 0.0745 | 45s
[full] ep  35 | train 0.1671 (pred 0.0208 sig 1.46) | val pred 0.0747 | 46s
[full] early-stop (best 0.0576 @ ep 23)
[full] DONE best_val 0.0576 | rollout@1 0.0318 (×identity 0.87) | eff_rank 9.3 | steer_sens 0.0356
