[full] ep   0 | train 0.8626 (pred 0.5471 sig 6.31) | val pred 0.2465 | 45s
[full] ep   1 | train 0.4182 (pred 0.1116 sig 6.13) | val pred 0.1125 | 45s
[full] ep   2 | train 0.3818 (pred 0.0775 sig 6.09) | val pred 0.1312 | 45s
[full] ep   3 | train 0.3668 (pred 0.0676 sig 5.98) | val pred 0.0672 | 45s
[full] ep   4 | train 0.3514 (pred 0.0576 sig 5.88) | val pred 0.0420 | 45s
[full] ep   5 | train 0.3423 (pred 0.0530 sig 5.79) | val pred 0.0453 | 45s
[full] ep   6 | train 0.3367 (pred 0.0487 sig 5.76) | val pred 0.0462 | 45s
[full] ep   7 | train 0.3316 (pred 0.0467 sig 5.70) | val pred 0.0573 | 45s
[full] ep   8 | train 0.3291 (pred 0.0445 sig 5.69) | val pred 0.0420 | 45s
[full] ep   9 | train 0.3235 (pred 0.0420 sig 5.63) | val pred 0.0374 | 45s
[full] ep  10 | train 0.3226 (pred 0.0408 sig 5.63) | val pred 0.0478 | 46s
[full] ep  11 | train 0.3173 (pred 0.0388 sig 5.57) | val pred 0.0448 | 46s
[full] ep  12 | train 0.3157 (pred 0.0372 sig 5.57) | val pred 0.0474 | 45s
[full] ep  13 | train 0.3118 (pred 0.0362 sig 5.51) | val pred 0.0434 | 45s
[full] ep  14 | train 0.2894 (pred 0.0432 sig 4.92) | val pred 0.0453 | 46s
[full] ep  15 | train 0.2787 (pred 0.0401 sig 4.77) | val pred 0.0468 | 45s
[full] ep  16 | train 0.2763 (pred 0.0382 sig 4.76) | val pred 0.0459 | 46s
[full] ep  17 | train 0.2707 (pred 0.0351 sig 4.71) | val pred 0.0348 | 45s
[full] ep  18 | train 0.2690 (pred 0.0334 sig 4.71) | val pred 0.0357 | 45s
[full] ep  19 | train 0.2646 (pred 0.0314 sig 4.67) | val pred 0.0428 | 45s
[full] ep  20 | train 0.2627 (pred 0.0302 sig 4.65) | val pred 0.0446 | 45s
[full] ep  21 | train 0.2592 (pred 0.0285 sig 4.61) | val pred 0.0360 | 45s
[full] ep  22 | train 0.2537 (pred 0.0301 sig 4.47) | val pred 0.0376 | 45s
[full] ep  23 | train 0.2371 (pred 0.0293 sig 4.16) | val pred 0.0454 | 45s
[full] ep  24 | train 0.2340 (pred 0.0279 sig 4.12) | val pred 0.0354 | 46s
[full] ep  25 | train 0.2309 (pred 0.0262 sig 4.09) | val pred 0.0307 | 46s
[full] ep  26 | train 0.2285 (pred 0.0249 sig 4.07) | val pred 0.0364 | 45s
[full] ep  27 | train 0.2257 (pred 0.0239 sig 4.04) | val pred 0.0407 | 46s
[full] ep  28 | train 0.2239 (pred 0.0231 sig 4.02) | val pred 0.0342 | 46s
[full] ep  29 | train 0.2215 (pred 0.0215 sig 4.00) | val pred 0.0349 | 45s
[full] ep  30 | train 0.2212 (pred 0.0214 sig 4.00) | val pred 0.0314 | 46s
[full] ep  31 | train 0.2203 (pred 0.0206 sig 3.99) | val pred 0.0301 | 45s
[full] ep  32 | train 0.2189 (pred 0.0196 sig 3.99) | val pred 0.0338 | 45s
[full] ep  33 | train 0.2183 (pred 0.0187 sig 3.99) | val pred 0.0353 | 46s
[full] ep  34 | train 0.2176 (pred 0.0182 sig 3.99) | val pred 0.0299 | 46s
[full] ep  35 | train 0.2167 (pred 0.0177 sig 3.98) | val pred 0.0309 | 46s
[full] ep  36 | train 0.2158 (pred 0.0170 sig 3.98) | val pred 0.0343 | 46s
[full] ep  37 | train 0.2155 (pred 0.0167 sig 3.98) | val pred 0.0296 | 46s
[full] ep  38 | train 0.2133 (pred 0.0161 sig 3.94) | val pred 0.0352 | 46s
[full] ep  39 | train 0.2150 (pred 0.0158 sig 3.98) | val pred 0.0349 | 46s
[full] ep  40 | train 0.2117 (pred 0.0153 sig 3.93) | val pred 0.0327 | 46s
[full] ep  41 | train 0.2126 (pred 0.0149 sig 3.95) | val pred 0.0325 | 45s
[full] ep  42 | train 0.2123 (pred 0.0145 sig 3.96) | val pred 0.0288 | 45s
[full] ep  43 | train 0.2111 (pred 0.0139 sig 3.94) | val pred 0.0314 | 45s
[full] ep  44 | train 0.2099 (pred 0.0135 sig 3.93) | val pred 0.0288 | 46s
[full] ep  45 | train 0.2095 (pred 0.0132 sig 3.93) | val pred 0.0339 | 46s
[full] ep  46 | train 0.2091 (pred 0.0127 sig 3.93) | val pred 0.0314 | 45s
[full] ep  47 | train 0.2085 (pred 0.0125 sig 3.92) | val pred 0.0288 | 45s
[full] ep  48 | train 0.2089 (pred 0.0123 sig 3.93) | val pred 0.0298 | 46s
[full] ep  49 | train 0.2092 (pred 0.0119 sig 3.95) | val pred 0.0280 | 45s
[full] ep  50 | train 0.2084 (pred 0.0116 sig 3.94) | val pred 0.0301 | 45s
[full] ep  51 | train 0.2069 (pred 0.0113 sig 3.91) | val pred 0.0309 | 45s
[full] ep  52 | train 0.2058 (pred 0.0112 sig 3.89) | val pred 0.0292 | 45s
[full] ep  53 | train 0.2065 (pred 0.0110 sig 3.91) | val pred 0.0284 | 45s
[full] ep  54 | train 0.2032 (pred 0.0115 sig 3.83) | val pred 0.0342 | 45s
[full] ep  55 | train 0.1988 (pred 0.0128 sig 3.72) | val pred 0.0314 | 45s
[full] ep  56 | train 0.1969 (pred 0.0123 sig 3.69) | val pred 0.0381 | 46s
[full] ep  57 | train 0.1970 (pred 0.0121 sig 3.70) | val pred 0.0368 | 45s
[full] ep  58 | train 0.1955 (pred 0.0117 sig 3.68) | val pred 0.0360 | 46s
[full] ep  59 | train 0.1936 (pred 0.0115 sig 3.64) | val pred 0.0356 | 45s
