[full] ep   0 | train 1.5205 (pred 0.8542 sig 3.33) | val pred 0.9611 | 46s
[full] ep   1 | train 0.8733 (pred 0.3050 sig 2.84) | val pred 0.2531 | 46s
[full] ep   2 | train 0.7235 (pred 0.1978 sig 2.63) | val pred 0.2471 | 46s
[full] ep   3 | train 0.6506 (pred 0.1439 sig 2.53) | val pred 0.1512 | 45s
[full] ep   4 | train 0.6014 (pred 0.1203 sig 2.41) | val pred 0.1358 | 45s
[full] ep   5 | train 0.5739 (pred 0.1043 sig 2.35) | val pred 0.1358 | 46s
[full] ep   6 | train 0.5595 (pred 0.0937 sig 2.33) | val pred 0.1135 | 45s
[full] ep   7 | train 0.5426 (pred 0.0883 sig 2.27) | val pred 0.1146 | 45s
[full] ep   8 | train 0.5170 (pred 0.0881 sig 2.14) | val pred 0.1565 | 45s
[full] ep   9 | train 0.4997 (pred 0.0815 sig 2.09) | val pred 0.1266 | 46s
[full] ep  10 | train 0.4902 (pred 0.0775 sig 2.06) | val pred 0.1338 | 45s
[full] ep  11 | train 0.4762 (pred 0.0738 sig 2.01) | val pred 0.1307 | 45s
[full] ep  12 | train 0.4702 (pred 0.0689 sig 2.01) | val pred 0.1276 | 45s
[full] ep  13 | train 0.4614 (pred 0.0666 sig 1.97) | val pred 0.1389 | 45s
[full] ep  14 | train 0.4469 (pred 0.0651 sig 1.91) | val pred 0.1274 | 45s
[full] ep  15 | train 0.4403 (pred 0.0629 sig 1.89) | val pred 0.1319 | 45s
[full] ep  16 | train 0.4294 (pred 0.0586 sig 1.85) | val pred 0.1239 | 46s
[full] ep  17 | train 0.4243 (pred 0.0564 sig 1.84) | val pred 0.1236 | 45s
[full] ep  18 | train 0.4213 (pred 0.0539 sig 1.84) | val pred 0.1379 | 45s
[full] early-stop (best 0.1135 @ ep 6)
[full] DONE best_val 0.1135 | rollout@1 0.1073 (×identity 0.93) | eff_rank 9.4 | steer_sens 0.0457
