[full] ep   0 | train 1.0922 (pred 0.6202 sig 4.72) | val pred 0.3678 | 46s
[full] ep   1 | train 0.5428 (pred 0.1369 sig 4.06) | val pred 0.1157 | 46s
[full] ep   2 | train 0.4726 (pred 0.0978 sig 3.75) | val pred 0.1199 | 46s
[full] ep   3 | train 0.4373 (pred 0.0798 sig 3.58) | val pred 0.0772 | 46s
[full] ep   4 | train 0.4183 (pred 0.0686 sig 3.50) | val pred 0.0707 | 46s
[full] ep   5 | train 0.4037 (pred 0.0614 sig 3.42) | val pred 0.0823 | 46s
[full] ep   6 | train 0.3966 (pred 0.0560 sig 3.41) | val pred 0.0531 | 45s
[full] ep   7 | train 0.3909 (pred 0.0527 sig 3.38) | val pred 0.0750 | 46s
[full] ep   8 | train 0.3845 (pred 0.0502 sig 3.34) | val pred 0.0565 | 46s
[full] ep   9 | train 0.3823 (pred 0.0486 sig 3.34) | val pred 0.0518 | 45s
[full] ep  10 | train 0.3789 (pred 0.0465 sig 3.32) | val pred 0.0613 | 46s
[full] ep  11 | train 0.3707 (pred 0.0469 sig 3.24) | val pred 0.0492 | 46s
[full] ep  12 | train 0.3538 (pred 0.0466 sig 3.07) | val pred 0.0488 | 45s
[full] ep  13 | train 0.3499 (pred 0.0436 sig 3.06) | val pred 0.0508 | 46s
[full] ep  14 | train 0.3448 (pred 0.0413 sig 3.04) | val pred 0.0520 | 46s
[full] ep  15 | train 0.3441 (pred 0.0405 sig 3.04) | val pred 0.0478 | 46s
[full] ep  16 | train 0.3396 (pred 0.0383 sig 3.01) | val pred 0.0504 | 46s
[full] ep  17 | train 0.3381 (pred 0.0377 sig 3.00) | val pred 0.0415 | 46s
[full] ep  18 | train 0.3373 (pred 0.0365 sig 3.01) | val pred 0.0493 | 46s
[full] ep  19 | train 0.3346 (pred 0.0352 sig 2.99) | val pred 0.0473 | 46s
[full] ep  20 | train 0.3321 (pred 0.0337 sig 2.98) | val pred 0.0425 | 46s
[full] ep  21 | train 0.3310 (pred 0.0329 sig 2.98) | val pred 0.0450 | 45s
[full] ep  22 | train 0.3298 (pred 0.0316 sig 2.98) | val pred 0.0509 | 46s
[full] ep  23 | train 0.3305 (pred 0.0314 sig 2.99) | val pred 0.0520 | 45s
[full] ep  24 | train 0.3267 (pred 0.0299 sig 2.97) | val pred 0.0405 | 45s
[full] ep  25 | train 0.3243 (pred 0.0287 sig 2.96) | val pred 0.0495 | 45s
[full] ep  26 | train 0.3242 (pred 0.0285 sig 2.96) | val pred 0.0406 | 46s
[full] ep  27 | train 0.3214 (pred 0.0277 sig 2.94) | val pred 0.0473 | 46s
[full] ep  28 | train 0.3200 (pred 0.0267 sig 2.93) | val pred 0.0494 | 46s
[full] ep  29 | train 0.3197 (pred 0.0260 sig 2.94) | val pred 0.0468 | 46s
[full] ep  30 | train 0.3189 (pred 0.0258 sig 2.93) | val pred 0.0414 | 46s
[full] ep  31 | train 0.3192 (pred 0.0250 sig 2.94) | val pred 0.0430 | 45s
[full] ep  32 | train 0.3179 (pred 0.0243 sig 2.94) | val pred 0.0412 | 46s
[full] ep  33 | train 0.3176 (pred 0.0236 sig 2.94) | val pred 0.0418 | 46s
[full] ep  34 | train 0.3148 (pred 0.0228 sig 2.92) | val pred 0.0433 | 45s
[full] ep  35 | train 0.3135 (pred 0.0223 sig 2.91) | val pred 0.0436 | 46s
[full] ep  36 | train 0.3139 (pred 0.0222 sig 2.92) | val pred 0.0435 | 46s
[full] early-stop (best 0.0405 @ ep 24)
[full] DONE best_val 0.0405 | rollout@1 0.0344 (×identity 0.92) | eff_rank 6.6 | steer_sens 0.0753
