[full] ep   0 | train 1.2076 (pred 0.7577 sig 4.50) | val pred 0.5454 | 45s
[full] ep   1 | train 0.6370 (pred 0.2534 sig 3.84) | val pred 0.2163 | 45s
[full] ep   2 | train 0.5395 (pred 0.1628 sig 3.77) | val pred 0.1851 | 45s
[full] ep   3 | train 0.4776 (pred 0.1198 sig 3.58) | val pred 0.1338 | 45s
[full] ep   4 | train 0.4261 (pred 0.0958 sig 3.30) | val pred 0.1135 | 45s
[full] ep   5 | train 0.4099 (pred 0.0835 sig 3.26) | val pred 0.1134 | 45s
[full] ep   6 | train 0.3952 (pred 0.0747 sig 3.20) | val pred 0.1362 | 45s
[full] ep   7 | train 0.3840 (pred 0.0678 sig 3.16) | val pred 0.1208 | 45s
[full] ep   8 | train 0.3737 (pred 0.0635 sig 3.10) | val pred 0.1067 | 45s
[full] ep   9 | train 0.3596 (pred 0.0602 sig 2.99) | val pred 0.1064 | 45s
[full] ep  10 | train 0.3509 (pred 0.0566 sig 2.94) | val pred 0.1045 | 45s
[full] ep  11 | train 0.3446 (pred 0.0534 sig 2.91) | val pred 0.0841 | 45s
[full] ep  12 | train 0.3374 (pred 0.0503 sig 2.87) | val pred 0.0891 | 45s
[full] ep  13 | train 0.3335 (pred 0.0482 sig 2.85) | val pred 0.0916 | 45s
[full] ep  14 | train 0.3250 (pred 0.0451 sig 2.80) | val pred 0.0818 | 45s
[full] ep  15 | train 0.3153 (pred 0.0448 sig 2.70) | val pred 0.0859 | 45s
[full] ep  16 | train 0.3072 (pred 0.0416 sig 2.66) | val pred 0.0854 | 45s
[full] ep  17 | train 0.3037 (pred 0.0394 sig 2.64) | val pred 0.0818 | 45s
[full] ep  18 | train 0.2998 (pred 0.0373 sig 2.63) | val pred 0.0849 | 45s
[full] ep  19 | train 0.2991 (pred 0.0361 sig 2.63) | val pred 0.0986 | 45s
[full] ep  20 | train 0.2945 (pred 0.0339 sig 2.61) | val pred 0.0851 | 45s
[full] ep  21 | train 0.2873 (pred 0.0326 sig 2.55) | val pred 0.0968 | 45s
[full] ep  22 | train 0.2843 (pred 0.0318 sig 2.53) | val pred 0.0887 | 45s
[full] ep  23 | train 0.2788 (pred 0.0293 sig 2.50) | val pred 0.0904 | 45s
[full] ep  24 | train 0.2769 (pred 0.0282 sig 2.49) | val pred 0.0817 | 45s
[full] ep  25 | train 0.2735 (pred 0.0271 sig 2.46) | val pred 0.0907 | 45s
[full] ep  26 | train 0.2665 (pred 0.0268 sig 2.40) | val pred 0.1230 | 45s
[full] ep  27 | train 0.2622 (pred 0.0265 sig 2.36) | val pred 0.0974 | 45s
[full] ep  28 | train 0.2574 (pred 0.0250 sig 2.32) | val pred 0.1039 | 45s
[full] ep  29 | train 0.2562 (pred 0.0243 sig 2.32) | val pred 0.0960 | 45s
[full] ep  30 | train 0.2490 (pred 0.0235 sig 2.25) | val pred 0.1116 | 45s
[full] ep  31 | train 0.2450 (pred 0.0227 sig 2.22) | val pred 0.1103 | 45s
[full] ep  32 | train 0.2402 (pred 0.0216 sig 2.19) | val pred 0.1158 | 45s
[full] ep  33 | train 0.2379 (pred 0.0211 sig 2.17) | val pred 0.1132 | 45s
[full] ep  34 | train 0.2348 (pred 0.0206 sig 2.14) | val pred 0.0999 | 45s
[full] ep  35 | train 0.2324 (pred 0.0195 sig 2.13) | val pred 0.1059 | 45s
[full] ep  36 | train 0.2314 (pred 0.0190 sig 2.12) | val pred 0.1172 | 45s
[full] early-stop (best 0.0817 @ ep 24)
[full] DONE best_val 0.0817 | rollout@1 0.0454 (×identity 0.80) | eff_rank 6.9 | steer_sens 0.0157
