[fold0] ep   0 | train 1.3475 (pred 0.8262 sig 5.21) | val pred 0.4690 | 44s
[fold0] ep   1 | train 0.6517 (pred 0.2589 sig 3.93) | val pred 0.2210 | 42s
[fold0] ep   2 | train 0.5416 (pred 0.1811 sig 3.60) | val pred 0.1152 | 42s
[fold0] ep   3 | train 0.4897 (pred 0.1432 sig 3.47) | val pred 0.1092 | 42s
[fold0] ep   4 | train 0.4472 (pred 0.1261 sig 3.21) | val pred 0.1209 | 43s
[fold0] ep   5 | train 0.4161 (pred 0.1087 sig 3.07) | val pred 0.0771 | 43s
[fold0] ep   6 | train 0.3989 (pred 0.1025 sig 2.96) | val pred 0.0860 | 43s
[fold0] ep   7 | train 0.3760 (pred 0.0933 sig 2.83) | val pred 0.0724 | 43s
[fold0] ep   8 | train 0.3692 (pred 0.0875 sig 2.82) | val pred 0.0848 | 43s
[fold0] ep   9 | train 0.3596 (pred 0.0818 sig 2.78) | val pred 0.0830 | 42s
[fold0] ep  10 | train 0.3441 (pred 0.0780 sig 2.66) | val pred 0.0616 | 42s
[fold0] ep  11 | train 0.3287 (pred 0.0720 sig 2.57) | val pred 0.0682 | 43s
[fold0] ep  12 | train 0.3185 (pred 0.0655 sig 2.53) | val pred 0.0536 | 43s
[fold0] ep  13 | train 0.3083 (pred 0.0601 sig 2.48) | val pred 0.0584 | 42s
[fold0] ep  14 | train 0.2978 (pred 0.0589 sig 2.39) | val pred 0.0617 | 42s
[fold0] ep  15 | train 0.2885 (pred 0.0559 sig 2.33) | val pred 0.0661 | 43s
[fold0] ep  16 | train 0.2809 (pred 0.0546 sig 2.26) | val pred 0.0603 | 42s
[fold0] ep  17 | train 0.2686 (pred 0.0497 sig 2.19) | val pred 0.0595 | 42s
[fold0] ep  18 | train 0.2648 (pred 0.0485 sig 2.16) | val pred 0.0594 | 42s
[fold0] ep  19 | train 0.2536 (pred 0.0467 sig 2.07) | val pred 0.0575 | 42s
[fold0] ep  20 | train 0.2505 (pred 0.0446 sig 2.06) | val pred 0.0536 | 42s
[fold0] ep  21 | train 0.2463 (pred 0.0421 sig 2.04) | val pred 0.0540 | 42s
[fold0] ep  22 | train 0.2403 (pred 0.0404 sig 2.00) | val pred 0.0576 | 42s
[fold0] ep  23 | train 0.2367 (pred 0.0392 sig 1.98) | val pred 0.0546 | 42s
[fold0] ep  24 | train 0.2321 (pred 0.0377 sig 1.94) | val pred 0.0574 | 42s
[fold0] ep  25 | train 0.2278 (pred 0.0364 sig 1.91) | val pred 0.0575 | 43s
[fold0] ep  26 | train 0.2243 (pred 0.0360 sig 1.88) | val pred 0.0569 | 42s
[fold0] ep  27 | train 0.2168 (pred 0.0347 sig 1.82) | val pred 0.0596 | 42s
[fold0] early-stop (best 0.0536 @ ep 12)
[fold0] DONE best_val 0.0536 | rollout@1 0.0567 (×identity 1.11) | eff_rank 8.5 | steer_sens 0.0081
