[fold1] ep   0 | train 1.3164 (pred 0.8146 sig 5.02) | val pred 0.4957 | 43s
[fold1] ep   1 | train 0.6462 (pred 0.2549 sig 3.91) | val pred 0.2229 | 43s
[fold1] ep   2 | train 0.5340 (pred 0.1820 sig 3.52) | val pred 0.1779 | 43s
[fold1] ep   3 | train 0.4580 (pred 0.1505 sig 3.08) | val pred 0.1227 | 43s
[fold1] ep   4 | train 0.4147 (pred 0.1284 sig 2.86) | val pred 0.1166 | 43s
[fold1] ep   5 | train 0.3814 (pred 0.1128 sig 2.69) | val pred 0.0840 | 43s
[fold1] ep   6 | train 0.3654 (pred 0.1009 sig 2.64) | val pred 0.0886 | 43s
[fold1] ep   7 | train 0.3431 (pred 0.0922 sig 2.51) | val pred 0.0733 | 43s
[fold1] ep   8 | train 0.3269 (pred 0.0807 sig 2.46) | val pred 0.0713 | 43s
[fold1] ep   9 | train 0.3158 (pred 0.0740 sig 2.42) | val pred 0.0789 | 43s
[fold1] ep  10 | train 0.3082 (pred 0.0679 sig 2.40) | val pred 0.0610 | 43s
[fold1] ep  11 | train 0.2970 (pred 0.0614 sig 2.36) | val pred 0.0644 | 43s
[fold1] ep  12 | train 0.2891 (pred 0.0575 sig 2.32) | val pred 0.0721 | 43s
[fold1] ep  13 | train 0.2779 (pred 0.0555 sig 2.22) | val pred 0.0704 | 43s
[fold1] ep  14 | train 0.2654 (pred 0.0519 sig 2.13) | val pred 0.0568 | 43s
[fold1] ep  15 | train 0.2594 (pred 0.0485 sig 2.11) | val pred 0.0573 | 43s
[fold1] ep  16 | train 0.2530 (pred 0.0451 sig 2.08) | val pred 0.0564 | 43s
[fold1] ep  17 | train 0.2450 (pred 0.0447 sig 2.00) | val pred 0.0568 | 43s
[fold1] ep  18 | train 0.2377 (pred 0.0412 sig 1.97) | val pred 0.0539 | 43s
[fold1] ep  19 | train 0.2284 (pred 0.0392 sig 1.89) | val pred 0.0520 | 43s
[fold1] ep  20 | train 0.2243 (pred 0.0373 sig 1.87) | val pred 0.0535 | 43s
[fold1] ep  21 | train 0.2192 (pred 0.0366 sig 1.83) | val pred 0.0466 | 43s
[fold1] ep  22 | train 0.2131 (pred 0.0341 sig 1.79) | val pred 0.0458 | 43s
[fold1] ep  23 | train 0.2085 (pred 0.0331 sig 1.75) | val pred 0.0541 | 43s
[fold1] ep  24 | train 0.2022 (pred 0.0318 sig 1.70) | val pred 0.0530 | 43s
[fold1] ep  25 | train 0.1990 (pred 0.0320 sig 1.67) | val pred 0.0570 | 43s
[fold1] ep  26 | train 0.1923 (pred 0.0310 sig 1.61) | val pred 0.0602 | 43s
[fold1] ep  27 | train 0.1877 (pred 0.0299 sig 1.58) | val pred 0.0532 | 43s
[fold1] ep  28 | train 0.1822 (pred 0.0285 sig 1.54) | val pred 0.0578 | 43s
[fold1] ep  29 | train 0.1784 (pred 0.0274 sig 1.51) | val pred 0.0519 | 43s
[fold1] ep  30 | train 0.1721 (pred 0.0265 sig 1.46) | val pred 0.0561 | 43s
[fold1] ep  31 | train 0.1689 (pred 0.0256 sig 1.43) | val pred 0.0541 | 43s
[fold1] ep  32 | train 0.1676 (pred 0.0248 sig 1.43) | val pred 0.0548 | 43s
[fold1] ep  33 | train 0.1643 (pred 0.0240 sig 1.40) | val pred 0.0542 | 43s
[fold1] ep  34 | train 0.1638 (pred 0.0235 sig 1.40) | val pred 0.0558 | 43s
[fold1] ep  35 | train 0.1601 (pred 0.0242 sig 1.36) | val pred 0.0611 | 43s
[fold1] ep  36 | train 0.1566 (pred 0.0235 sig 1.33) | val pred 0.0539 | 43s
[fold1] ep  37 | train 0.1539 (pred 0.0214 sig 1.33) | val pred 0.0525 | 43s
[fold1] early-stop (best 0.0458 @ ep 22)
[fold1] DONE best_val 0.0458 | rollout@1 0.0359 (×identity 1.03) | eff_rank 8.1 | steer_sens 0.0042
