[vjepa_ac] ep   0 | train 0.2602 | val 0.0764 | 1s
[vjepa_ac] ep   1 | train 0.0678 | val 0.0606 | 1s
[vjepa_ac] ep   2 | train 0.0659 | val 0.0586 | 1s
[vjepa_ac] ep   3 | train 0.0658 | val 0.0579 | 1s
[vjepa_ac] ep   4 | train 0.0658 | val 0.0576 | 1s
[vjepa_ac] ep   5 | train 0.0657 | val 0.0576 | 1s
[vjepa_ac] ep   6 | train 0.0658 | val 0.0575 | 1s
[vjepa_ac] ep   7 | train 0.0657 | val 0.0574 | 1s
[vjepa_ac] ep   8 | train 0.0657 | val 0.0575 | 1s
[vjepa_ac] ep   9 | train 0.0656 | val 0.0577 | 1s
[vjepa_ac] ep  10 | train 0.0655 | val 0.0577 | 1s
[vjepa_ac] ep  11 | train 0.0654 | val 0.0576 | 1s
[vjepa_ac] ep  12 | train 0.0650 | val 0.0571 | 1s
[vjepa_ac] ep  13 | train 0.0646 | val 0.0574 | 1s
[vjepa_ac] ep  14 | train 0.0640 | val 0.0581 | 1s
[vjepa_ac] ep  15 | train 0.0633 | val 0.0573 | 1s
[vjepa_ac] ep  16 | train 0.0627 | val 0.0574 | 1s
[vjepa_ac] ep  17 | train 0.0621 | val 0.0573 | 1s
[vjepa_ac] ep  18 | train 0.0615 | val 0.0572 | 1s
[vjepa_ac] ep  19 | train 0.0610 | val 0.0577 | 1s
[vjepa_ac] ep  20 | train 0.0603 | val 0.0573 | 1s
[vjepa_ac] ep  21 | train 0.0598 | val 0.0573 | 1s
[vjepa_ac] ep  22 | train 0.0592 | val 0.0575 | 1s
[vjepa_ac] ep  23 | train 0.0587 | val 0.0576 | 1s
[vjepa_ac] ep  24 | train 0.0581 | val 0.0567 | 1s
[vjepa_ac] ep  25 | train 0.0575 | val 0.0585 | 1s
[vjepa_ac] ep  26 | train 0.0569 | val 0.0584 | 1s
[vjepa_ac] ep  27 | train 0.0563 | val 0.0591 | 1s
[vjepa_ac] ep  28 | train 0.0558 | val 0.0593 | 1s
[vjepa_ac] ep  29 | train 0.0552 | val 0.0598 | 1s
[vjepa_ac] ep  30 | train 0.0546 | val 0.0586 | 1s
[vjepa_ac] ep  31 | train 0.0540 | val 0.0590 | 1s
[vjepa_ac] ep  32 | train 0.0534 | val 0.0607 | 1s
[vjepa_ac] ep  33 | train 0.0528 | val 0.0612 | 1s
[vjepa_ac] ep  34 | train 0.0523 | val 0.0609 | 1s
[vjepa_ac] ep  35 | train 0.0517 | val 0.0610 | 1s
[vjepa_ac] ep  36 | train 0.0511 | val 0.0625 | 1s
[vjepa_ac] ep  37 | train 0.0504 | val 0.0627 | 1s
[vjepa_ac] ep  38 | train 0.0499 | val 0.0648 | 1s
[vjepa_ac] ep  39 | train 0.0493 | val 0.0649 | 1s
[vjepa_ac] early-stop (best 0.0567 @ ep 24)
[vjepa_ac] DONE best_val 0.0567 | rollout@1 0.0494 (×identity 0.94) | rollout@10 0.3752
